id,net_price,name,hierarchy_id
3450,500.0,Hamburguesa Vegetariana sin papas promo,AB.070
3460,500.0,Hamburguesa Vegana sin papas promo,AB.070
2620,3590.0,Kunstman Sin Filtrar,AB.080
50020,0.0,Hamburguesa Americana con papas promo,AB.008
60040,0.0,Agua con Gas promo,AB.070
7551,7990.0,MOJITO + SCHOP,AB.006
7190,4990.0,Amaretto sour,AB.075
7380,6590.0,Jack fire,AB.075
2320,0.0,chicken curry compartir promo,BA.330
UBEREATS0016,900.0,Pebre,AB.100130
1650,1190.0,jugo de durazno,AB.050
4770,6490.0,b. MARTES: 2X1 SPRITZ *,AB.007
UBEREATS0017,0.0,Guacamole,AB.100130
3250,4990.0,Mojitos Happy,AB.073
4690,8990.0,Piscola promo,AB.072
60110,0.0,coca cola sin azucar,AB.030
60130,0.0,jugo de piña,BA.360
6670,7490.0,Hendricks Original,AB.075
3330,18990.0,Tarapaca reserva ,AB.090
UBEREATS0013,0.0,beefie extra uber,AB.100130
UBEREATS0022,300.0,Salsa picante,AB.100130
GETJUSTOEX0033,0.0,En la hamburguesa,BA.310
9090,4490.0,mechada individual,AB.400
7640,6490.0,Baileys,AB.075
4120,11990.0,2 papas grandes,AB.420
60080,0.0,fanta,BA.360
9161,4490.0,choclo champiñon compartir,AB.400
9111,3290.0,single fries compartir,AB.400
40070,0.0,veggie compartir promo,AB.070
UBEREATS0015,0.0,Bacon,AB.100130
4740,3590.0,Sol ,AB.080
2640,4250.0,kunstman 500ml,AB.080
400040,0.0,fanta,AB.030
6710,5990.0,Jimador,AB.075
6980,6590.0,Jack daniels apple ,AB.075
4420,11990.0,Hamburguesa Original,AB.100120
2660,12990.0,Botella Carmenere bicicleta,AB.075
7150,10990.0,Tarapaca leon ,AB.075
60120,0.0,jugo de durazno,BA.360
7200,4990.0,Daikiri,AB.075
GETJUSTOEX0014,0.0,fanta promo,BA.200
4600,3490.0,Agua sin Gas,AB.075
3410,7990.0,Hamburguesa Vegana sin papas,AB.125
9091,4490.0,mechada compartir,AB.400
9140,4490.0,mexa individual,AB.400
9030,6990.0,Hamburguesa Hot,AB.410
6330,0.0,chicken curry compartir promo,BA.530
7230,7490.0,Tanqueray,AB.075
2440,1290.0,coca cola sin azucar,AB.050
2840,40299.0,Pisco mistral de 40; 750ml,AB.090
2770,62737.0,Jhonnie Wlaker Black label 750ml,AB.090
9141,4490.0,mexa compartir,AB.400
9100,4990.0,chicken curry individual,AB.400
6340,0.0,pollo albahaca compartir promo,BA.530
6640,7990.0,Chivas Regal,AB.075
50,10990.0,Hamburguesa Blueshop,AB.020
4331,0.0,single fries compartir,AB.530
4290,9990.0,Hamburguesa Fry chicken tutri,AB.200240
2835,44900.0,Pisco mistral de 35; 750ml,AB.090
4210,7490.0,Ceviche de reineta ,AB.510
GETJUSTOEX0015,0.0,sprite promo,BA.200
50030,0.0,Hamburguesa Vegana sin papas promo,AB.070
7930,7990.0,Premium amaretto disaronno sour,AB.075
7770,8990.0,2 Jack apple,AB.550
7820,8990.0,2 Gin bombay,AB.550
1590,4490.0,pollo albahaca individual,AB.400
4270,8990.0,Hamburguesa Vegana,AB.520
8020,3990.0,CALAFATE,AB.007
9150,4490.0,beefie individual,AB.400
3220,5990.0,Cosmopolitan happy,AB.073
4670,6990.0,Hamburguesa Fry chicken tutri sin papas,AB.125
4870,8990.0,corta corriente,AB.007
8140,0.0,Heineken,AB.007
2930,0.0,Doble carne,AB.040
7540,0.0,PREMUIM MARGARITA ,AB.075
4430,11990.0,Hamburguesa Fry chicken tutri,AB.100120
4610,3590.0,CERVEZA DE BOTELLA ,AB.075
uberbox30,0.0,fanta promo,BA.370
6040,0.0,Hamburguesa Vegana con papas promo,AB.420
9001,4490.0,vegan compartir,AB.400
9110,3290.0,single fries individual,AB.400
6550,5990.0,Expresso Martini,AB.075
9101,4990.0,chicken curry compartir,AB.400
1550,7489.9,Hamburguesa Vegetariana,AB.020
7160,13990.0,Tarapaca reserva,AB.075
1330,900.0,chicken curry extra,AB.040
4460,9990.0,Hamburguesa Fry chicken tutri,AB.020
8130,0.0,Heineken,AB.007
8010,6490.0,Spritz aperol,AB.007
3320,7490.0,Arroz chaufa carne+ bebida ,AB.095
7561,8990.0,tropical gin,AB.007
8120,5490.0,Barrica tostada ,AB.075
7920,6990.0,Chambord spritz,AB.075
7880,6990.0,mistral fire,AB.075
4580,4490.0,Gatorade ,AB.050
